0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:24:56 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:25:15 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:25:15 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:26:05 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:26:05 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:27:05 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1572
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:27:05 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:28:18 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:28:18 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:28:36 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:28:36 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:29:15 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:29:15 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:29:36 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:29:36 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:30:33 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:30:33 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:31:12 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:31:12 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:31:24 -0200] "GET /07_GestaoProdutos/consulta.jsp HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:31:24 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:31:32 -0200] "GET /07_GestaoProdutos/cadastro.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [09/Nov/2017:10:31:32 -0200] "GET /07_GestaoProdutos/css/produtos.css HTTP/1.1" 404 1047
