2017-09-22 00:26:08,610 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\01_ConceitosDependencia\src\test\resources
2017-09-22 00:36:28,037 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-22 00:36:28,044 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\01_ConceitosDependencia\src\main\resources
2017-09-22 00:36:28,050 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-22 00:36:28,064 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\01_ConceitosDependencia\src\test\resources
2017-09-22 00:36:30,343 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-22 00:36:30,350 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\01_ConceitosDependencia\src\main\resources
2017-09-22 00:36:30,356 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-22 00:36:30,367 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\01_ConceitosDependencia\src\test\resources
2017-09-22 20:53:26,050 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-09-22 20:53:43,473 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-22 20:53:43,482 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\03_ProjetoWeb\src\main\resources
2017-09-22 20:53:43,485 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-22 20:53:43,492 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\03_ProjetoWeb\src\test\resources
2017-09-23 00:53:26,495 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-09-23 00:53:34,503 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-23 00:53:34,514 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\01_ConceitosDependencia\src\main\resources
2017-09-23 00:53:34,517 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-23 00:53:34,525 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\01_ConceitosDependencia\src\test\resources
2017-09-23 00:53:35,510 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-23 00:53:35,520 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\04_ExemploMaven\src\main\resources
2017-09-23 00:53:35,522 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-09-23 00:53:35,531 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\TIO BIGA\FACULDADE\TREINAMENTOS\Impacta Exercs\Modulo02\Modulo02\04_ExemploMaven\src\test\resources
